RECORD,DATE,julian,julian day,SITE,F=Full/P=Partial,SECTOR,ARRIVAL TIME,IPSWICH,CONTENTAL ,NOTES,TIDES (PM HIGH),AVEG WIND DIR,AVEG WIND SPD,HIGH WIND SPD,WIND (HIGH GUST),TEMP HIGH,TEMP LOW,AVERAGE SKY COVER,PERCIPITATION,PERCIPTATION TYPE
SMJK004,12/02/2017,17336,336,NUM,P,SE QUADRANT,MID AFTERNOON,Y,N,ONE ISPWICH SIGHTED ,,,,,,,,,,
SMJK015,12/12/2017,17346,346,NUM,F,EAST SIDE,LATE MORNING,Y,Y,"THREE IPS, TWO CSV, ONE UNIDENTIFIED SAV",,,,,,,,,,
SMJK016,12/19/2017,17353,353,NUM,P,SE QUADRANT,EARLY AFTERNOON,Y,Y,"THREE IPS, THREE CSV",,,,,,,,,,
SMJK025,12/17/2017,17351,351,NUM,P,NORTHEAST QUADRANT,LATE MORNING,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK032,12/25/2017,17359,359,NUM,P,ROASIDE ,LATE MORNING,N,Y,6 CSV SEEN FEEDING ALONG GRASS STRIP BESIDE ROAD.  BOTH SIDES OF ROAD WERE CANVASSES TWICE AS THE TIDE WAS HIGH AND THE ROADSIDE AND BRUSH LINE ARE TRADITIONAL FLEE SPOTS FOR SPARROWS ON THIS HIGH TIDE MARSH.  No IIPSWICH SIGHTED.,,,,,,,,,,
SMJK034,12/26/2017,17360,360,NUM,F,EAST SECTOR,MID MORNING,Y,Y,FEW SIGHTINGS OF BOTH IPS AND CSV.  ,,,,,,,,,,
SMJK041,01/14/2018,18014,14,NUM,F,OUTER EAST SIDE,EARLY AFTERNOON,Y,N,TWO SIGHTINGS,,,,,,,,,,
SMJK044,01/20/2018,18020,20,NUM,P,WEST SECTOR,LATE MORNING,N,N,NO SIGHTINGS,,,,,,,,,,
SMJK045,01/21/2018,18021,21,NUM,F,EAST SECTOR,EARLY AFTERNOON,Y,N,5 SIGHTINGS,,,,,,,,,,
SMJK051,01/26/2018,18026,26,NUM,F,OUTER HALF OF EAST SIDE,MID MORNING,Y,N,"FOUR PINNED, ALL AROUND SAME AREA OF BROKEN POND/PANS.",,,,,,,,,,
SMJK056,02/05/2018,18036,36,NUM,F,OUTER EAST SIDE,MID MORNING,Y,N,4 IPSWICH SIGHTINGS,,,,,,,,,,
SMJK058,02/09/2018,18040,40,NUM,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,2 SIGHTINGS,,,,,,,,,,
SMJK061,02/14/2018,18045,45,NUM,F,OUTER EAST SIDE,MID DAY,Y,N,"8 SIGHTINGS, HIGHEST SIGHTING TOTAL FOR THIS SITE TO DATE",,,,,,,,,,
SMJK063,02/17/2018,18048,48,NUM,F,"ENTIRE SITE SURVEY, BOTH FULL EAST AND WEST SIDES OF SITE",LATE AFTERNOON,Y,N,2 SIGHTINGS IN THE STUDY SITE AREA.  REST OF AREA SURVEYED TO CONFIRM PRESENCE IN ADJOINING MARSH AREAS OF STUDY AREA.   SIGHTINGS ONLY NOTED IN STUDY AREA.   FEW OTHER SPARROWS (SALT MARSH) SEEN ON THE WEST SIDE OF ISLAND.  JOE SMITH ASSISTED OBSERVER WITH CANVASS OF ENTIRE ISLAND,,,,,,,,,,
SMJK065,02/20/2018,18051,51,NUM,F,OUTER EAST SIDE,NOON,Y,N,"8 SIGHTINGS, A HIGH NUMBER ONLY 8 SIGHTINGS NOTED ON ONE OTHER DAY.  DETECTIONS CONTINUES TO BE CONSISTENT ON NUMMY WITH AN APPARENT TREND OF INCREASED DETECTION THOUGH JUST A SUSPICION AS DATA HAS NOT BEEN ANALYIZED.   A FEW FIDDLER CRABS NOTD OUT OF BURROWS IN MANY AREAS ACROSS STUDY SITE.",,,,,,,,,,
SMJK068,02/24/2018,18055,55,NUM,F,OUTER EAST SIDE,EARLY AFTERNOON,Y,N,"4 SIGHTINGS.   HEAVY FOG, VISIBILITY 1/4 TO 1/2 MILE.    QUIET AND STILL.   ALL SPARROWS SEEN WITHOUT SIGNS OF FLEEING OR PANIC.",,,,,,,,,,
SMJK070,02/26/2018,18057,57,NUM,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,"8 SIGHTINGS, TIES HIGHEST COUNT ON SITE TO DATE.  SPARROWS STRETCHED ALONG THE EDGES OF THE SOUTHERN POND FORMATIONS.   NOTE FIDDLER CRABS NOTED AND TWO DEAD PURPLE MUD CRABS FOUND HALF OUT OF HOLES NEXT TO ONE ANOTHER.  PRESENCE CONFIRMED ON NUMMY ISLAND FOR PURPLE MUD CRAB.  WARMER DAY TIME TEMPERATURES TRIGGERED EMERGENCE OF FIDDLER CRAB.  CRABS SEEM TO REACT QUICK TO TEMP CHANGES.",,,,,,,,,,
SMJK075,03/10/2018,18069,69,NUM,F,OUTER EAST SIDE,LATE MORNING,Y,N,"4 SIGHTINGS, ON PAIR TOGETHER USUALLY ONLY SINGLE BIRDS NOTED ON THIS SITE TO DATE.   AVERAGE NUMBER OF SIGHTINGS FOR SITE.   NONE ON SOUTHERN PART OF SITE, ALL IN THE MIDDLE OR SLIGHT NORTH ON SITE.",,,,,,,,,,
SMJK079,03/17/2018,18076,76,NUM,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,"10 SIGHTINGS, THE HIGHEST SIGHTINGS RECORDED ON THIS SITE TO DATE.  TWO SIGHTINGS THIS VISIT ARE THE TWO SPARROWS THAT WHEN FLUSHED FLEW THE FARTHEST TO THE WEST TO DATE ON THE SITE.   STILL TO DATE, AN IPSWICH HAS BEEN SIGHTED ON THIS EXCLUSIVE LOW MARSH SITE HABITAT ON EVERY VISIT THIS WINTER.  ALL SIGHTINGS SKEWED TO THE NORTH AND MIDDLE OF STUDY SITE, NOT SIGHTINGS ON SOUTHERN HALF OF STUDY SITE.",,,,,,,,,,
SMJK080,03/19/2018,18078,78,NUM,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,"8 SIGHTINGS, TIES SECOND HIGHEST COUNTS FOR A SINGLE VISIT ON SITE.   NO SIGHTINGS ON THE EXTREME SOUTH AREA OF SITE OR NORTH END PONDS, SIGHTINGS GROUPED IN MIDDLE OF SITE.",,,,,,,,,,
SMJK001,11/28/2017,17332,332,SHP,P,DUNE SECTOR,LATE MORNING,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK005,11/27/2017,17331,331,SHP,P,DUNE SECTOR,MID AFTERNOON,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK006,12/01/2017,17335,335,SHP,P,DUNE SECTOR,LATE AFTERNOON,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK007,12/01/2017,17335,335,SHP,P,N MARSH SECTOR,LATE MORNING,N,N,NO SPARROWS SIGHTED,,,,,,,,,,
SMJK010,12/04/2017,17338,338,SHP,P,DUNE SECTOR,EARLY AFTERNOON,Y,Y,"ONLY TWO IPS SIGHTED, FEW CSV, SITE SEEMINGLY EMPTY",,,,,,,,,,
SMJK012,12/07/2017,17341,341,SHP,P,DUNE SECTOR,MID AFTERNOON,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK013,12/09/2017,17343,343,SHP,P,DUNE SECTOR,EARLY MORNING,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK019,12/18/2017,17352,352,SHP,P,MIDDLE MARSH,MID AFTERNOON,N,N,NO SPARROW SIGHTINGS.  WALKED MARSH AREAS DIRECTLY BEHIND GRASS BOWL AREA,,,,,,,,,,
SMJK020,12/18/2017,17352,352,SHP,P,FRONT DUNE LINES,LATE AFTERNOON,N,N,NO SPARROW SIGHTINGS.  ONLY WALKED FRONT DUNE AND SIDE DUNE LINES DUE TO LACK OF ACCESS IN THE AREAS BEHIND DUNE FRONT.  DUNE LINES INCLUDED ISOLATED DUNE LINES ON SOUTHERN END IN OPEN WASH OUT AREAS AND AT SOUTHERN TIP OF POINT.    ,,,,,,,,,,
SMJK024,12/21/2017,17355,355,SHP,P,FRONT DUNE LINES,MID AFTERNOON,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK026,12/17/2017,17351,351,SHP,P,REAR SOUTHERN MARSH,EARLY AFTERNOON,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK027,12/17/2017,17351,351,SHP,P,SMALL POND,MID AFTERNOON,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK028,12/21/2017,17355,355,SHP,P,FRONT OF PRIMARY DUNES,MID AFTERNOON,Y,N,MULTIPLE SPARROW SIGHTINGS AS WELL AS SIGNIFICANT TRACKS AND FORAGING SIGN ALL ALONG THE ENTIRE OUTER DUNE FACES AND TOPS.,,,,,,,,,,
SMJK029,12/23/2017,17357,357,SHP,P,FRONT OF PRIMARY DUNES,EARLY MORNING,Y,N,"FEW SIGHTINGS OF IPS, SIX TOTAL FOR VISIT. HEAVY FOG AT SUNUP LAYING OVER COASTAL AREAS.",,,,,,,,,,
SMJK030,12/24/2017,17358,358,SHP,P,FRONT OF PRIMARY DUNES,EARLY MORNING,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK031,12/25/2017,17359,359,SHP,P,FRONT OF PRIMARY DUNES,EARLY MORNING,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK033,12/26/2017,17360,360,SHP,P,FRONT OF PRIMARY DUNES,EARLY MONRING,N,N,NO SPARROW SIGHTINGS.  WINDS WERE STILL HIGH AND OUT OF THE WEST BLOWING SAND ACROSS OPEN AREAS CREATING SAND BLASTING AFFECT.,,,,,,,,,,
SMJK035,12/28/2017,17362,362,SHP,P,FRONT OF PRIMARY DUNES,MID MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK036,12/29/2017,17363,363,SHP,P,FRONT OF PRIMARY DUNES,EARLY AFTERNOON,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK037,12/30/2017,17364,364,SHP,P,FRONT OF PRIMARY DUNES,EARLY AFTERNOON,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK038,01/01/2018,18001,1,SHP,P,FRONT OF PRIMARY DUNES,LATE MORNING,Y,N,FEW SIGHTING,,,,,,,,,,
SMJK039,01/13/2018,18013,13,SHP,P,FRONT OF PRIMARY DUNES AND REAR MARSH,MID MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
