RECORD,DATE,julian,julian day,SITE,In Study Area    ,Full/Partial,SECTOR,ARRIVAL TIME,IPSWICH,CONTENTAL ,NOTES,TIDES (PM HIGH),AVEG WIND DIR,AVEG WIND SPD,HIGH WIND SPD,WIND (HIGH GUST),TEMP HIGH,TEMP LOW,AVERAGE SKY COVER,PERCIPITATION,PERCIPTATION TYPE
SMJK034,12/26/17,17360,360,NUM,Yes,F,EAST SECTOR,MID MORNING,Y,Y,FEW SIGHTINGS OF BOTH IPS AND CSV.  ,,,,,,,,,,
SMJK045,1/21/18,18021,021,NUM,Yes**,F,EAST SECTOR,EARLY AFTERNOON,Y,N,5 SIGHTINGS,,,,,,,,,,
SMJK015,12/12/17,17346,346,NUM,Yes,F,EAST SIDE,LATE MORNING,Y,Y,"THREE IPS, TWO CSV, ONE UNIDENTIFIED SAV",,,,,,,,,,
SMJK063,2/17/18,18048,048,NUM,Yes**,F,"ENTIRE SITE SURVEY, BOTH FULL EAST AND WEST SIDES OF SITE",LATE AFTERNOON,Y,N,2 SIGHTINGS IN THE STUDY SITE AREA.  REST OF AREA SURVEYED TO CONFIRM PRESENCE IN ADJOINING MARSH AREAS OF STUDY AREA.   SIGHTINGS ONLY NOTED IN STUDY AREA.   FEW OTHER SPARROWS (SALT MARSH) SEEN ON THE WEST SIDE OF ISLAND.  JOE SMITH ASSISTED OBSERVER WITH CANVASS OF ENTIRE ISLAND,,,,,,,,,,
SMJK025,12/17/17,17351,351,NUM,No,NA,NORTHEAST QUADRANT,LATE MORNING,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK041,1/14/18,18014,014,NUM,Yes,F,OUTER EAST SIDE,EARLY AFTERNOON,Y,N,TWO SIGHTINGS,,,,,,,,,,
SMJK056,2/5/18,18036,036,NUM,Yes,F,OUTER EAST SIDE,MID MORNING,Y,N,4 IPSWICH SIGHTINGS,,,,,,,,,,
SMJK058,2/9/18,18040,040,NUM,Yes,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,2 SIGHTINGS,,,,,,,,,,
SMJK061,2/14/18,18045,045,NUM,Yes,F,OUTER EAST SIDE,MID DAY,Y,N,"8 SIGHTINGS, HIGHEST SIGHTING TOTAL FOR THIS SITE TO DATE",,,,,,,,,,
SMJK065,2/20/18,18051,051,NUM,Yes,F,OUTER EAST SIDE,NOON,Y,N,"8 SIGHTINGS, A HIGH NUMBER ONLY 8 SIGHTINGS NOTED ON ONE OTHER DAY.  DETECTIONS CONTINUES TO BE CONSISTENT ON NUMMY WITH AN APPARENT TREND OF INCREASED DETECTION THOUGH JUST A SUSPICION AS DATA HAS NOT BEEN ANALYIZED.   A FEW FIDDLER CRABS NOTD OUT OF BURROWS IN MANY AREAS ACROSS STUDY SITE.",,,,,,,,,,
SMJK068,2/24/18,18055,055,NUM,Yes,F,OUTER EAST SIDE,EARLY AFTERNOON,Y,N,"4 SIGHTINGS.   HEAVY FOG, VISIBILITY 1/4 TO 1/2 MILE.    QUIET AND STILL.   ALL SPARROWS SEEN WITHOUT SIGNS OF FLEEING OR PANIC.",,,,,,,,,,
SMJK070,2/26/18,18057,057,NUM,Yes,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,"8 SIGHTINGS, TIES HIGHEST COUNT ON SITE TO DATE.  SPARROWS STRETCHED ALONG THE EDGES OF THE SOUTHERN POND FORMATIONS.   NOTE FIDDLER CRABS NOTED AND TWO DEAD PURPLE MUD CRABS FOUND HALF OUT OF HOLES NEXT TO ONE ANOTHER.  PRESENCE CONFIRMED ON NUMMY ISLAND FOR PURPLE MUD CRAB.  WARMER DAY TIME TEMPERATURES TRIGGERED EMERGENCE OF FIDDLER CRAB.  CRABS SEEM TO REACT QUICK TO TEMP CHANGES.",,,,,,,,,,
SMJK075,3/10/18,18069,069,NUM,Yes,F,OUTER EAST SIDE,LATE MORNING,Y,N,"4 SIGHTINGS, ON PAIR TOGETHER USUALLY ONLY SINGLE BIRDS NOTED ON THIS SITE TO DATE.   AVERAGE NUMBER OF SIGHTINGS FOR SITE.   NONE ON SOUTHERN PART OF SITE, ALL IN THE MIDDLE OR SLIGHT NORTH ON SITE.",,,,,,,,,,
SMJK079,3/17/18,18076,076,NUM,Yes,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,"10 SIGHTINGS, THE HIGHEST SIGHTINGS RECORDED ON THIS SITE TO DATE.  TWO SIGHTINGS THIS VISIT ARE THE TWO SPARROWS THAT WHEN FLUSHED FLEW THE FARTHEST TO THE WEST TO DATE ON THE SITE.   STILL TO DATE, AN IPSWICH HAS BEEN SIGHTED ON THIS EXCLUSIVE LOW MARSH SITE HABITAT ON EVERY VISIT THIS WINTER.  ALL SIGHTINGS SKEWED TO THE NORTH AND MIDDLE OF STUDY SITE, NOT SIGHTINGS ON SOUTHERN HALF OF STUDY SITE.",,,,,,,,,,
SMJK080,3/19/18,18078,078,NUM,Yes,F,OUTER EAST SIDE,MID AFTERNOON,Y,N,"8 SIGHTINGS, TIES SECOND HIGHEST COUNTS FOR A SINGLE VISIT ON SITE.   NO SIGHTINGS ON THE EXTREME SOUTH AREA OF SITE OR NORTH END PONDS, SIGHTINGS GROUPED IN MIDDLE OF SITE.",,,,,,,,,,
SMJK051,1/26/18,18026,026,NUM,Yes,F,OUTER HALF OF EAST SIDE,MID MORNING,Y,N,"FOUR PINNED, ALL AROUND SAME AREA OF BROKEN POND/PANS.",,,,,,,,,,
SMJK032,12/25/17,17359,359,NUM,No,NA,ROASIDE ,LATE MORNING,N,Y,6 CSV SEEN FEEDING ALONG GRASS STRIP BESIDE ROAD.  BOTH SIDES OF ROAD WERE CANVASSES TWICE AS THE TIDE WAS HIGH AND THE ROADSIDE AND BRUSH LINE ARE TRADITIONAL FLEE SPOTS FOR SPARROWS ON THIS HIGH TIDE MARSH.  No IIPSWICH SIGHTED.,,,,,,,,,,
SMJK004,12/2/17,17336,336,NUM,No,NA,SE QUADRANT,MID AFTERNOON,Y,N,ONE ISPWICH SIGHTED ,,,,,,,,,,
SMJK016,12/19/17,17353,353,NUM,No,NA,SE QUADRANT,EARLY AFTERNOON,Y,Y,"THREE IPS, THREE CSV",,,,,,,,,,
SMJK044,1/20/18,18020,020,NUM,No**,NA,WEST SECTOR,LATE MORNING,N,N,NO SIGHTINGS,,,,,,,,,,
SMJK005,11/27/17,17331,331,SHP,Yes,P,DUNE SECTOR,MID AFTERNOON,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK001,11/28/17,17332,332,SHP,Yes,P,DUNE SECTOR,LATE MORNING,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK006,12/1/17,17335,335,SHP,Yes,P,DUNE SECTOR,LATE AFTERNOON,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK010,12/4/17,17338,338,SHP,Yes,P,DUNE SECTOR,EARLY AFTERNOON,Y,Y,"ONLY TWO IPS SIGHTED, FEW CSV, SITE SEEMINGLY EMPTY",,,,,,,,,,
SMJK012,12/7/17,17341,341,SHP,Yes,P,DUNE SECTOR,MID AFTERNOON,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK013,12/9/17,17343,343,SHP,Yes,P,DUNE SECTOR,EARLY MORNING,Y,Y,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK050,1/25/18,18025,025,SHP,Yes,F,FRONT AND REAR SECTORS,MID MORNING,Y,N,NONE SEEN ON FRONT ALL SEEN ON BACK EDGE AND ON MARSH,,,,,,,,,,
SMJK052,1/27/18,18027,027,SHP,Yes,F,FRONT AND REAR SECTORS,MID MORNING,Y,Y,"FEW SIGHTINGS, ALL ON BACK SIDE BOARDERING THE MARSH.  NONE SEEN ON BEACH SIDE.",,,,,,,,,,
SMJK053,1/31/18,18031,031,SHP,Yes,F,FRONT AND REAR SECTORS,MID AFTERNOON,Y,N,"FEW SIGHTINGS.  3 ON FRONT DUNES, REST ON BACK EDGE OR MARSH AREAS.",,,,,,,,,,
SMJK059,2/10/18,18041,041,SHP,Yes,F,FRONT AND REAR SECTORS,LATE MORNING,Y,N,4 SIGHTINGS,,,,,,,,,,
SMJK062,2/15/18,18046,046,SHP,Yes,F,"FRONT BACK INTERIOR TRANSECT, ADD MIDDLE MARSH SECTOR",EARLY AFTERNOON,Y,N,"5 SIGHTINGS, 4 ON MARSH LMB.  BIRDS ABSENT ON FRONT AND INTERIOR GRASSLANDS.   CONDUCTED SURVEY OF THE OUTER MARSHES THAT INCLUDED THE ENTIRE MARSH AREA ON THE GRASSLAND SIDE OF THE CREEK THAT DRAINS THE LAKE.  PREVIOUS ONLY DAILY SAMPLE TRANSECTS WERE CONDUCTED IN THIS AREA.   RESULTED IN ONE SIGHTING.",,,,,,,,,,
SMJK020,12/18/17,17352,352,SHP,Yes,P,FRONT DUNE LINES,LATE AFTERNOON,N,N,NO SPARROW SIGHTINGS.  ONLY WALKED FRONT DUNE AND SIDE DUNE LINES DUE TO LACK OF ACCESS IN THE AREAS BEHIND DUNE FRONT.  DUNE LINES INCLUDED ISOLATED DUNE LINES ON SOUTHERN END IN OPEN WASH OUT AREAS AND AT SOUTHERN TIP OF POINT.    ,,,,,,,,,,
SMJK024,12/21/17,17355,355,SHP,Yes,P,FRONT DUNE LINES,MID AFTERNOON,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK028,12/21/17,17355,355,SHP,Yes,P,FRONT OF PRIMARY DUNES,MID AFTERNOON,Y,N,MULTIPLE SPARROW SIGHTINGS AS WELL AS SIGNIFICANT TRACKS AND FORAGING SIGN ALL ALONG THE ENTIRE OUTER DUNE FACES AND TOPS.,,,,,,,,,,
SMJK029,12/23/17,17357,357,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY MORNING,Y,N,"FEW SIGHTINGS OF IPS, SIX TOTAL FOR VISIT. HEAVY FOG AT SUNUP LAYING OVER COASTAL AREAS.",,,,,,,,,,
SMJK030,12/24/17,17358,358,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY MORNING,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK031,12/25/17,17359,359,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY MORNING,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK033,12/26/17,17360,360,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY MONRING,N,N,NO SPARROW SIGHTINGS.  WINDS WERE STILL HIGH AND OUT OF THE WEST BLOWING SAND ACROSS OPEN AREAS CREATING SAND BLASTING AFFECT.,,,,,,,,,,
SMJK035,12/28/17,17362,362,SHP,Yes,P,FRONT OF PRIMARY DUNES,MID MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK036,12/29/17,17363,363,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY AFTERNOON,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
